# 免责声明
# 所发布的技术内容来自互联网途径获取，仅可用于学习研究、个人非商业用途。
# 任何使用本直播源的用户需自行承担风险。我们无法控制这些第三方资源的可用性、质量、安全性或合法性。
# 我们不对使用产生的任何损失、损害或法律责任承担责任。使用者必须自行判断并承担使用所带来的风险。
# 系统状态: URL检查已开启
# 负载均衡: 已启用，支持自动故障转移
# 多URL支持: 每个频道最多6个备用源

📺中央频道,#genre#
CCTV1,http://iptv.cwys.top/iptv2.php?id=CCTV1
CCTV2,http://iptv.cwys.top/iptv2.php?id=CCTV2
CCTV3,http://iptv.cwys.top/iptv2.php?id=CCTV3
CCTV4,http://iptv.cwys.top/iptv2.php?id=CCTV4
CCTV5,http://iptv.cwys.top/iptv2.php?id=CCTV5
CCTV5+,http://iptv.cwys.top/iptv2.php?id=CCTV5%252B
CCTV6,http://iptv.cwys.top/iptv2.php?id=CCTV6
CCTV7,http://iptv.cwys.top/iptv2.php?id=CCTV7
CCTV8,http://iptv.cwys.top/iptv2.php?id=CCTV8
CCTV9,http://iptv.cwys.top/iptv2.php?id=CCTV9
CCTV10,http://iptv.cwys.top/iptv2.php?id=CCTV10
CCTV11,http://iptv.cwys.top/iptv2.php?id=CCTV11
CCTV12,http://iptv.cwys.top/iptv2.php?id=CCTV12
CCTV13,http://iptv.cwys.top/iptv2.php?id=CCTV13
CCTV14,http://iptv.cwys.top/iptv2.php?id=CCTV14
CCTV15,http://iptv.cwys.top/iptv2.php?id=CCTV15
CCTV17,http://iptv.cwys.top/iptv2.php?id=CCTV17
CGTN,http://iptv.cwys.top/iptv2.php?id=CGTN
CCTV16,http://iptv.cwys.top/iptv2.php?id=CCTV16
CCTV央视台球,http://iptv.cwys.top/iptv2.php?id=CCTV%25E5%25A4%25AE%25E8%25A7%2586%25E5%258F%25B0%25E7%2590%2583
CCTV女性时尚,http://iptv.cwys.top/iptv2.php?id=CCTV%25E5%25A5%25B3%25E6%2580%25A7%25E6%2597%25B6%25E5%25B0%259A
