#https://freetv.fun/app
#Generated on: 2026-03-24 07:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
AXN Movies,https://t.freetv.fun/live/ekran-movies.m3u8
VOA Persian,https://t.freetv.fun/live/voa-persian.m3u8
#https://freetv.fun/app
#Generated on: 2026-03-24 07:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#下載地址為https://freetv.fun/app
#生成時間: 2026-03-24 07:00:02 UTC


Canal Algerie,https://t.freetv.fun/live/tv2-canal-algerie.m3u8
EDGE Sport,https://t.freetv.fun/live/gem-sport.m3u8
農林衛視,https://t.freetv.fun/live/zhong-guo-nong-lin-wei-shi.m3u8
農林衛視,https://t.freetv.fun/live/zhong-guo-nong-lin-wei-shi-1.m3u8
陝西體育休閒,https://t.freetv.fun/live/shan-xi-ti-yu.m3u8
陝西體育休閒,https://t.freetv.fun/live/shan-xi-ti-yu-1.m3u8
Al Nahar Noor,https://t.freetv.fun/live/noor.m3u8
Coptic Sat TV,https://t.freetv.fun/live/coptic-tv.m3u8
sat7,https://t.freetv.fun/live/sat7-pars.m3u8
明珠,https://t.freetv.fun/live/ming-zhu-4.php
明珠,https://t.freetv.fun/live/ming-zhu-tai-gao-qing.m3u8
明珠臺(備),https://t.freetv.fun/live/ming-zhu.php
明珠臺(備),https://t.freetv.fun/live/ming-zhu-5.php
明珠臺(備),https://t.freetv.fun/live/ming-zhu-6.m3u8
明珠臺(備),https://t.freetv.fun/live/ming-zhu-1.m3u8
明珠臺(備),https://t.freetv.fun/live/ming-zhu-2.m3u8
明珠臺(備),https://t.freetv.fun/live/ming-zhu-3.m3u8
ZEE CLASSIC,https://t.freetv.fun/live/gem-classic.m3u8
My kids(Indonesia),https://t.freetv.fun/live/gem-kids.m3u8
Alborz TV Iran,https://t.freetv.fun/live/alborz.m3u8
GEM JUNIOR,https://t.freetv.fun/live/gem-junior.m3u8
GEM LIFE,https://t.freetv.fun/live/gem-life.m3u8
GEM MIFA,https://t.freetv.fun/live/gem-mifa.m3u8
GEM MIFA,https://t.freetv.fun/live/gem-mifa-plus.m3u8
GEM RUBIX,https://t.freetv.fun/live/gem-rubix.m3u8
GEM RUBIX,https://t.freetv.fun/live/gem-rubix-plus.m3u8
GEM TV,https://t.freetv.fun/live/gem-tv.m3u8
Gem River,https://t.freetv.fun/live/gem-river.m3u8
Gem River,https://t.freetv.fun/live/gem-river-plus.m3u8
Jahanbin TV Iran,https://t.freetv.fun/live/jahanbin.m3u8
Mahabad TV Iran,https://t.freetv.fun/live/mahabad.m3u8
Manoto 1,https://t.freetv.fun/live/manoto-tv.m3u8
J SPORTS 4,https://t.freetv.fun/live/persiana-sports-4.m3u8
Astro TVS,https://t.freetv.fun/live/tvs.m3u8
Astro TVS,https://t.freetv.fun/live/tvs-1.m3u8
TVi(MAS),https://t.freetv.fun/live/tvi.m3u8
RTP Africa,https://t.freetv.fun/live/rtp-africa.m3u8
Zad TV,https://t.freetv.fun/live/zed-tv.m3u8
Canal+ Series Spain,https://t.freetv.fun/live/gem-series-plus.m3u8
Energy TV Spain,https://t.freetv.fun/live/energy.m3u8
EET TV Tamil,https://t.freetv.fun/live/eet-tv.m3u8
EET TV Tamil,https://t.freetv.fun/live/eet-tv-1.m3u8
Viasat Crime Sweden,https://t.freetv.fun/live/viasat-true-crime.m3u8
TVBS新聞HD,https://t.freetv.fun/live/tvbsxin-wen.php
