🕘️更新时间,#genre#
2026-03-24 16:51:38,http://39.165.39.49:19901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0

📺央视频道,#genre#
CCTV-1,http://39.165.39.49:19901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,https://t.freetv.fun/live/cctv1-1.php
CCTV-1,https://t.freetv.fun/live/cctv1-2.php
CCTV-1,https://t.freetv.fun/live/cctv1.m3u8
CCTV-1,https://t.freetv.fun/live/cctv-1hd.m3u8
CCTV-2,http://39.165.39.49:19901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,https://t.freetv.fun/live/cctv2.m3u8
CCTV-2,https://t.freetv.fun/live/cctv2-1.php
CCTV-2,https://t.freetv.fun/live/cctv2-2.php
CCTV-2,https://t.freetv.fun/live/cctv2-7.m3u8
CCTV-3,http://183.239.108.37:1698/hls/19/index.m3u8
CCTV-3,https://t.freetv.fun/live/cctv3.php
CCTV-3,https://t.freetv.fun/live/cctv3-1.php
CCTV-3,https://t.freetv.fun/live/cctv3-3.m3u8
CCTV-3,https://t.freetv.fun/live/cctv3-12.m3u8
CCTV-4,http://iptv.cwys.top/iptv2.php?id=CCTV4
CCTV-4,https://t.freetv.fun/live/cctv4-1.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4-3.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4-4.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4.m3u8
CCTV-5,https://t.freetv.fun/live/cctv5.php
CCTV-5,https://t.freetv.fun/live/cctv5-3.m3u8
CCTV-5,https://t.freetv.fun/live/cctv5-5.m3u8
CCTV-5,https://t.freetv.fun/live/cctv5-6.m3u8
CCTV-5,https://t.freetv.fun/live/cctv-5hd.m3u8
CCTV-5+,https://t.freetv.fun/live/cctv5-plus.php
CCTV-5+,https://t.freetv.fun/live/cctv5-plus-1.m3u8
CCTV-5+,https://t.freetv.fun/live/cctv5-plus-5.m3u8
CCTV-5+,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226894/1.m3u8?
CCTV-5+,http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228372/42612910.smil/index.m3u8?fmt=ts2hls
CCTV-6,http://183.239.108.37:1698/hls/23/index.m3u8
CCTV-6,https://t.freetv.fun/live/cctv6.php
CCTV-6,https://t.freetv.fun/live/cctv6-1.m3u8
CCTV-6,https://t.freetv.fun/live/cctv-6gao-qing.m3u8
CCTV-6,https://t.freetv.fun/live/cctv6-dian-ying-1.php
CCTV-7,http://183.239.108.37:1698/hls/24/index.m3u8
CCTV-7,https://t.freetv.fun/live/cctv7.m3u8
CCTV-7,https://t.freetv.fun/live/cctv7-2.m3u8
CCTV-7,https://t.freetv.fun/live/cctv7-1.php
CCTV-7,https://t.freetv.fun/live/cctv7-3.m3u8
CCTV-8,https://t.freetv.fun/live/cctv8-2.php
CCTV-8,https://t.freetv.fun/live/cctv8-4.php
CCTV-8,https://t.freetv.fun/live/cctv8-1.m3u8
CCTV-8,https://t.freetv.fun/live/cctv8-3.m3u8
CCTV-8,https://t.freetv.fun/live/cctv8-5.php
CCTV-9,https://t.freetv.fun/live/cctv9.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9-3.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9-2.m3u8
CCTV-9,https://t.freetv.fun/live/cctv-9hd.m3u8
CCTV-9,https://t.freetv.fun/live/cctv-9gao-qing.m3u8
CCTV-10,https://t.freetv.fun/live/cctv10-1.m3u8
CCTV-10,https://t.freetv.fun/live/cctv10-2.php
CCTV-10,https://t.freetv.fun/live/cctv10-4.m3u8
CCTV-10,https://t.freetv.fun/live/cctv-10gao-qing.m3u8
CCTV-10,https://t.freetv.fun/live/cctv-10-2.m3u8
CCTV-11,http://183.239.108.37:1698/hls/28/index.m3u8
CCTV-11,https://t.freetv.fun/live/cctv11-2.php
CCTV-11,https://t.freetv.fun/live/cctv11-1.m3u8
CCTV-11,https://t.freetv.fun/live/cctv11-10.m3u8
CCTV-11,https://t.freetv.fun/live/cctv11-16.m3u8
CCTV-12,https://t.freetv.fun/live/cctv12-1.php
CCTV-12,https://t.freetv.fun/live/cctv12-3.m3u8
CCTV-12,https://t.freetv.fun/live/cctv-12.php
CCTV-12,https://t.freetv.fun/live/cctv-12gao-qing.m3u8
CCTV-12,https://t.freetv.fun/live/cctv-12hd.m3u8
CCTV-13,http://183.239.108.37:1698/hls/30/index.m3u8
CCTV-13,https://t.freetv.fun/live/cctv13-4.m3u8
CCTV-13,https://t.freetv.fun/live/cctv13-21.m3u8
